id,name,agency,solicitation_number,outcome,docket_url,filed_date,due_date,date_decided,case_type,gao_attorney
484,"H2 Performance Consulting Corporation","Department of the Navy : Naval Supply Systems Command",N00189-15-R-Z003,Dismissed,http://gao.gov/docket/B-412145.1,"Sep 21, 2015","Dec 30, 2015","Oct 20, 2015","Bid Protest","Paul N. Wengert"
485,"Digital MindTrust, LLC","Department of Homeland Security : Directorate of Emergency Preparedness and Response : Federal Emergency Management Agency",HSFE20-15-R-0012,Dismissed,http://gao.gov/docket/B-411937.2,"Sep 21, 2015","Dec 30, 2015","Oct 20, 2015","Bid Protest","Mary G. Curcio"
486,"BAE Systems Southeast Shipyards Mayport, LLC","Department of the Navy : Naval Sea Systems Command",N40027-15-R-0029,Withdrawn,http://gao.gov/docket/B-412140.1,"Sep 21, 2015","Dec 30, 2015","Oct 8, 2015","Bid Protest","Glenn G. Wolcott"
487,"MYMIC LLC","Department of the Navy : Naval Supply Systems Command",N00189-15-R-Z018,Dismissed,http://gao.gov/docket/B-412112.2,"Sep 21, 2015","Dec 30, 2015","Oct 8, 2015","Bid Protest","Glenn G. Wolcott"
488,"TKC Global Solutions, LLC","General Services Administration : Federal Acquisition Service",ID05150028,Dismissed,http://gao.gov/docket/B-412141.1,"Sep 21, 2015","Dec 30, 2015","Oct 6, 2015","Bid Protest","Kenneth Kilgour"
489,"Latvian Connection, LLC","Department of the Navy : Naval Supply Systems Command",000000003976,Dismissed,http://gao.gov/docket/B-412133.1,"Sep 21, 2015","Dec 30, 2015","Oct 5, 2015","Bid Protest","Young S. Lee"
490,"Extreme Engineering","Department of the Air Force",FA2521-15-Q-B277,Withdrawn,http://gao.gov/docket/B-412143.1,"Sep 21, 2015","Dec 30, 2015","Sep 30, 2015","Bid Protest","Stephanie B. Magnell"
491,"InfoZen, Inc.","General Services Administration : Federal Acquisition Service",4QTFHS150004,Dismissed,http://gao.gov/docket/B-412050.2,"Sep 21, 2015","Dec 30, 2015","Sep 29, 2015","Bid Protest","Louis A. Chiarella"
492,"Export 220Volt, Inc.","Department of State",86335ELP38,Dismissed,http://gao.gov/docket/B-412135.1,"Sep 21, 2015","Dec 30, 2015","Sep 28, 2015","Bid Protest","Christina Sklarew"
493,"Lexmark International, Inc.","Department of Defense : United States Marine Corps",H92257-15-Q-0187,Withdrawn,http://gao.gov/docket/B-412134.1,"Sep 21, 2015","Dec 30, 2015","Sep 21, 2015","Bid Protest","Tania Calhoun"
494,"Latvian Connection, LLC","Department of the Air Force",F1ECES52220200,Dismissed,http://gao.gov/docket/B-412127.1,"Sep 18, 2015","Dec 28, 2015","Nov 30, 2015","Bid Protest","Brent Burris"
495,"Latvian Connection, LLC","Department of the Air Force",Unknown,Dismissed,http://gao.gov/docket/B-411958.2,"Sep 18, 2015","Dec 28, 2015","Nov 16, 2015","Bid Protest: Reconsideration","Gary R. Allen"
496,"Excellus Solutions, Inc.","Department of the Air Force",FA8771-15-R-0022.,Withdrawn,http://gao.gov/docket/B-411961.2,"Sep 18, 2015","Dec 28, 2015","Oct 28, 2015","Bid Protest","Peter D. Verchinski"
497,"Deloitte Consulting, LLP","Department of Defense : Office of the Under Secretary for Personnel and Readiness : Defense Health Agency",HT0011-15-R-0010,Dismissed,http://gao.gov/docket/B-412125.1,"Sep 18, 2015","Dec 28, 2015","Oct 26, 2015","Bid Protest","Eric M. Ransom"
498,"S.M.R.T., LLC","Department of Veterans Affairs",VA-262-15-R-0415,Dismissed,http://gao.gov/docket/B-412136.1,"Sep 18, 2015","Dec 28, 2015","Oct 20, 2015","Bid Protest","Laura Eyester"
499,"JAM Construction Services, Inc.","Department of Veterans Affairs",va248-15-b-1196,Dismissed,http://gao.gov/docket/B-412130.1,"Sep 18, 2015","Dec 28, 2015","Oct 16, 2015","Bid Protest","Robert T. Wu"
500,"PROAIM Americas, LLC","Department of the Army","",Dismissed,http://gao.gov/docket/B-412137.1,"Sep 18, 2015","Dec 28, 2015","Oct 15, 2015","Bid Protest","Young H. Cho"
501,"Kforce Government Solutions, Inc.","General Services Administration : Office of Federal Supply and Services",RFQ938731,Dismissed,http://gao.gov/docket/B-411198.2,"Sep 18, 2015","Dec 28, 2015","Oct 13, 2015","Bid Protest","Heather Weiner"
502,"Interactive Information Solutions, Inc.","Department of the Army : U.S. Army Materiel Command",W91CRB-15-R-0619,Dismissed,http://gao.gov/docket/B-412129.1,"Sep 18, 2015","Dec 28, 2015","Oct 13, 2015","Bid Protest","Cherie J. Owen"
503,"DCI Inc.","Department of Defense : United States Marine Corps",M67400-15-T-0111-3,Dismissed,http://gao.gov/docket/B-412128.1,"Sep 18, 2015","Dec 28, 2015","Oct 6, 2015","Bid Protest","Paul N. Wengert"
504,"Martin Edwards & Associates, Inc.","Department of the Army",W911S7-15-B-0031,Dismissed,http://gao.gov/docket/B-412126.1,"Sep 18, 2015","Dec 28, 2015","Sep 30, 2015","Bid Protest","Young H. Cho"
505,"Springfield Parcel, LLC","General Services Administration : Public Buildings Service",2VA0687,Dismissed,http://gao.gov/docket/B-411988.2,"Sep 18, 2015","Dec 28, 2015","Sep 28, 2015","Bid Protest","Gary R. Allen"
506,"Chase Supply, Inc.","Department of Defense : Defense Logistics Agency",SPE7M4-15-Q-0276,Dismissed,http://gao.gov/docket/B-411849.2,"Sep 17, 2015","Dec 28, 2015","Nov 9, 2015","Bid Protest","Stephanie B. Magnell"
507,"MSAB Inc.","Department of Justice : Drug Enforcement Administration",D-15-ST-0420,Dismissed,http://gao.gov/docket/B-412119.1,"Sep 17, 2015","Dec 28, 2015","Oct 22, 2015","Bid Protest","Charles W. Morrow"
508,"MSAB Inc.","Department of Justice : Drug Enforcement Administration",D-15-ST-0436,Dismissed,http://gao.gov/docket/B-412121.1,"Sep 17, 2015","Dec 28, 2015","Oct 22, 2015","Bid Protest","Charles W. Morrow"
509,"MSAB Inc.","Department of Justice : Drug Enforcement Administration",D-15-ST-0487,Dismissed,http://gao.gov/docket/B-412122.1,"Sep 17, 2015","Dec 28, 2015","Oct 22, 2015","Bid Protest","Charles W. Morrow"
510,"Custom Pak, Inc.","Department of Veterans Affairs",VA770-15-Q-0005,Dismissed,http://gao.gov/docket/B-412123.1,"Sep 17, 2015","Dec 28, 2015","Oct 16, 2015","Bid Protest","Paula A. Williams"
511,"EMC Corporation","General Services Administration : Information Technology Service",1033029,Dismissed,http://gao.gov/docket/B-412084.2,"Sep 17, 2015","Dec 28, 2015","Oct 5, 2015","Bid Protest","K. Nicole Willems"
512,"Innovative Collaboration, Inc.","Department of the Army : Corps of Engineers",W807PM52174263,Withdrawn,http://gao.gov/docket/B-412124.1,"Sep 17, 2015","Dec 28, 2015","Sep 25, 2015","Bid Protest","Young S. Lee"
513,"CAMSS Shelters","Department of the Navy : Naval Facilities Engineering Command",1037547,Withdrawn,http://gao.gov/docket/B-412120.1,"Sep 17, 2015","Dec 28, 2015","Sep 22, 2015","Bid Protest","Laura Eyester"
514,"Strategic Resourcing & Energy, LLC","General Services Administration : Public Buildings Service",GS10P15LTC7014,Dismissed,http://gao.gov/docket/B-412116.1,"Sep 16, 2015","Dec 28, 2015","Nov 13, 2015","Bid Protest","Susan K. McAuliffe"
515,"Career Systems Development Corporation","Department of Labor",DOLJ13QA20004,Dismissed,http://gao.gov/docket/B-412113.1,"Sep 16, 2015","Dec 28, 2015","Oct 16, 2015","Bid Protest","Paula J. Haurilesko"
516,"Education & Training Resources","Department of Labor",DOLJ13QA20004,Dismissed,http://gao.gov/docket/B-412113.2,"Sep 16, 2015","Dec 28, 2015","Oct 16, 2015","Bid Protest","Paula J. Haurilesko"
517,"Medfinity LLC","Department of Veterans Affairs",VA262-15-Q-1102,Dismissed,http://gao.gov/docket/B-412114.1,"Sep 16, 2015","Dec 28, 2015","Oct 15, 2015","Bid Protest","K. Nicole Willems"
518,"MYMIC LLC","Department of the Navy : Naval Supply Systems Command",N00189-15-R-Z018,Dismissed,http://gao.gov/docket/B-412112.1,"Sep 16, 2015","Dec 28, 2015","Oct 8, 2015","Bid Protest","Glenn G. Wolcott"
519,"Assessment and Training Solutions Consulting Corporation","Department of the Air Force",H92240-15-R-2001,Dismissed,http://gao.gov/docket/B-412094.2,"Sep 16, 2015","Dec 28, 2015","Oct 1, 2015","Bid Protest: Reconsideration","Louis A. Chiarella"
520,"Spares Inc.","Department of Defense : Defense Logistics Agency",SPE4A6-15-T-BT51,Dismissed,http://gao.gov/docket/B-412117.1,"Sep 16, 2015","Dec 28, 2015","Sep 30, 2015","Bid Protest","Scott H. Riback"
521,"Perfect Comfort, Inc.","Department of the Army",W91QVN-15-T-0235,Dismissed,http://gao.gov/docket/B-412109.1,"Sep 16, 2015","Dec 28, 2015","Sep 25, 2015","Bid Protest","Jonathan L. Kang"
522,"Cherokee Government Applications, LLC","Department of Defense : Defense Logistics Agency","",Dismissed,http://gao.gov/docket/B-412110.1,"Sep 16, 2015","Dec 28, 2015","Sep 17, 2015","Bid Protest","Tania Calhoun"
523,"Medfinity LLC","Department of Veterans Affairs",VA251-15-R-0608,Withdrawn,http://gao.gov/docket/B-412115.1,"Sep 16, 2015","Dec 28, 2015","Sep 17, 2015","Bid Protest","Tania Calhoun"
524,"Starry Associates, Inc.","Department of Health and Human Services",15-233-SOL-00023,Denied,http://gao.gov/docket/B-410968.3,"Sep 15, 2015","Dec 24, 2015","Dec 23, 2015","Bid Protest","Young S. Lee"
525,"CACI Technologies, Inc.","Department of the Army : U.S. Army Materiel Command",W909MY-15-R-H007,Dismissed,http://gao.gov/docket/B-412106.1,"Sep 15, 2015","Dec 24, 2015","Oct 16, 2015","Bid Protest","Evan D. Wesser"
526,"Moore Services, Inc.","Department of the Army",W911SG-15-R-9376,Dismissed,http://gao.gov/docket/B-412102.1,"Sep 15, 2015","Dec 24, 2015","Oct 13, 2015","Bid Protest","Paul N. Wengert"
527,"Advanced American Construction, Inc.","Department of the Army : Corps of Engineers",W9127N-15-R-0026,Dismissed,http://gao.gov/docket/B-412104.1,"Sep 15, 2015","Dec 24, 2015","Oct 9, 2015","Bid Protest","Paula J. Haurilesko"
528,"PennGood, LLC","Department of Health and Human Services : Public Health Service : Substance Abuse and Mental Health Services Administration",277-15-0424,Dismissed,http://gao.gov/docket/B-412111.1,"Sep 15, 2015","Dec 24, 2015","Sep 29, 2015","Bid Protest","Lois Hanshaw"
529,"Bluehorse Corporation","Department of the Interior : Bureau of Indian Affairs",0040231389,Withdrawn,http://gao.gov/docket/B-412108.1,"Sep 15, 2015","Dec 24, 2015","Sep 28, 2015","Bid Protest","Paula A. Williams"
530,"Unified Interest","General Services Administration : Public Buildings Service",5TX0526,Withdrawn,http://gao.gov/docket/B-412107.1,"Sep 15, 2015","Dec 24, 2015","Sep 22, 2015","Bid Protest","Glenn G. Wolcott"
531,"ASRC Communications, Ltd.","Department of the Air Force",FA2521-13-R-0019,Sustained,http://gao.gov/docket/B-412093.1,"Sep 14, 2015","Dec 23, 2015","Dec 23, 2015","Bid Protest","Scott H. Riback"
532,"Intelsat General Corporation","Department of Defense : Defense Information Systems Agency",HC1013-14-R-0004,Sustained,http://gao.gov/docket/B-412097.1,"Sep 14, 2015","Dec 23, 2015","Dec 23, 2015","Bid Protest","Stephanie B. Magnell"
533,"Diversified Technology & Services of Virginia, Inc.","Department of Homeland Security : United States Citizenship and Immigration Services",HSSCCG-15-R-00020,Denied,http://gao.gov/docket/B-412090.2,"Sep 14, 2015","Dec 23, 2015","Dec 16, 2015","Bid Protest","Louis A. Chiarella"
534,"Lockheed Martin Corporation","Department of the Army : U.S. Army Materiel Command",W56HZV-14-R-0039,Dismissed,http://gao.gov/docket/B-412056.2,"Sep 14, 2015","Dec 23, 2015","Dec 15, 2015","Bid Protest","Glenn G. Wolcott"
535,"Telos Corporation","Department of the Army : U.S. Army Materiel Command",W52P1J-15-R-CASD,Denied,http://gao.gov/docket/B-412058.2,"Sep 14, 2015","Dec 23, 2015","Dec 14, 2015","Bid Protest","Mary G. Curcio"
536,"National Associates, Inc.","Department of Housing and Urban Development",RCS-B-15-00022,Dismissed,http://gao.gov/docket/B-412091.1,"Sep 14, 2015","Dec 23, 2015","Nov 24, 2015","Bid Protest","Elizabeth Witwer"
537,"Integrated Medical Solutions, LLC","Department of Justice : Bureau of Prisons",RFPP05181300001,Dismissed,http://gao.gov/docket/B-412096.1,"Sep 14, 2015","Dec 23, 2015","Oct 23, 2015","Bid Protest","Susan K. McAuliffe"
538,"Cyrus Construction","Department of the Interior : National Park Service",P15PS01401,Withdrawn,http://gao.gov/docket/B-412100.1,"Sep 14, 2015","Dec 23, 2015","Oct 16, 2015","Bid Protest","Glenn G. Wolcott"
539,"Prairie Quest, Inc.","Department of the Air Force","",Dismissed,http://gao.gov/docket/B-412105.1,"Sep 14, 2015","Dec 23, 2015","Oct 16, 2015","Bid Protest","Paula J. Haurilesko"
540,"Savantage Financial Services, Inc.","Department of Agriculture",AG-3144-S-15-0081,Dismissed,http://gao.gov/docket/B-412095.1,"Sep 14, 2015","Dec 23, 2015","Oct 8, 2015","Bid Protest","Peter D. Verchinski"
541,"US Security Associates, Inc.","Administrative Office of the United States Courts",USCA15Q0013,Dismissed,http://gao.gov/docket/B-412103.1,"Sep 14, 2015","Dec 23, 2015","Oct 8, 2015","Bid Protest","Noah B. Bleicher"
542,"Loui Consulting Group, Inc.","Department of the Navy : Naval Supply Systems Command",N00024-15-R-3248,Dismissed,http://gao.gov/docket/B-412089.1,"Sep 14, 2015","Dec 23, 2015","Oct 1, 2015","Bid Protest","Charles W. Morrow"
543,"Navarro Research and Engineering, Inc.","Department of the Army : Corps of Engineers",W912P4-14-R-0002,Withdrawn,http://gao.gov/docket/B-411952.2,"Sep 14, 2015","Dec 23, 2015","Oct 1, 2015","Bid Protest","Matthew T. Crosby"
544,"General Electrodynamics Corporation","Department of Defense : Defense Logistics Agency",SPE8EF-15-T-2828,Dismissed,http://gao.gov/docket/B-412098.1,"Sep 14, 2015","Dec 23, 2015","Sep 30, 2015","Bid Protest","Kenneth Kilgour"
545,"Marine Terminals Corporation- East, Inc.","Department of the Air Force",HTC711-14-R-R003,Dismissed,http://gao.gov/docket/B-410698.7,"Sep 14, 2015","Dec 23, 2015","Sep 30, 2015","Bid Protest","Cherie J. Owen"
546,"HERE North America, LLC","Department of Commerce : Bureau of the Census",CENSUS2015-GEO0227,Dismissed,http://gao.gov/docket/B-412099.1,"Sep 14, 2015","Dec 23, 2015","Sep 29, 2015","Bid Protest","Eric M. Ransom"
547,"InGenesis, Inc.","Department of Homeland Security : United States Immigration and Customs Enforcement",HSCEDM-15-R-00020,Withdrawn,http://gao.gov/docket/B-412101.1,"Sep 14, 2015","Dec 23, 2015","Sep 28, 2015","Bid Protest","Lois Hanshaw"
548,"MacAulay-Brown, Inc.","Department of the Air Force",15-1060,Dismissed,http://gao.gov/docket/B-411983.2,"Sep 14, 2015","Dec 23, 2015","Sep 18, 2015","Bid Protest","Glenn G. Wolcott"
549,"Bluehorse Corporation","Department of the Interior : Bureau of Land Management",L15PS01131,Dismissed,http://gao.gov/docket/B-412087.1,"Sep 14, 2015","Dec 23, 2015","Sep 18, 2015","Bid Protest","Laura Eyester"
550,"Assessment and Training Solutions Consulting Corporation","Department of the Air Force",H92240-15-R-2001,Dismissed,http://gao.gov/docket/B-412094.1,"Sep 14, 2015","Dec 23, 2015","Sep 15, 2015","Bid Protest","Paul N. Wengert"
551,"Tesla Energy Company, LLC","Department of State",PR4701079,Withdrawn,http://gao.gov/docket/B-412088.1,"Sep 14, 2015","Dec 23, 2015","Sep 14, 2015","Bid Protest","Tania Calhoun"
552,"Custom Manufacturing & Engineering, Inc.","Department of the Army : U.S. Army Materiel Command",W15P7T-14-R-E001,Withdrawn,http://gao.gov/docket/B-409991.3,"Sep 11, 2015","Dec 21, 2015","Dec 7, 2015","Bid Protest","Katherine I. Riback"
553,"IERUS Technologies","Department of Defense : Defense Intelligence Agency",HHM402-14-R-0025,Dismissed,http://gao.gov/docket/B-411834.2,"Sep 11, 2015","Dec 21, 2015","Dec 3, 2015","Bid Protest","Mary G. Curcio"
554,"Serco Inc.","Department of Homeland Security : United States Citizenship and Immigration Services",HSSCCG-15-R-00020,Withdrawn,http://gao.gov/docket/B-412090.1,"Sep 11, 2015","Dec 21, 2015","Oct 29, 2015","Bid Protest","Louis A. Chiarella"
555,"TVAR Solutions","General Services Administration : Information Technology Service",1033029,Dismissed,http://gao.gov/docket/B-412084.1,"Sep 11, 2015","Dec 21, 2015","Oct 28, 2015","Bid Protest","K. Nicole Willems"
556,"TWD & Associates, Inc.","Department of Defense : Defense Information Systems Agency",HC1047-15-R-4002,Dismissed,http://gao.gov/docket/B-412092.1,"Sep 11, 2015","Dec 21, 2015","Oct 28, 2015","Bid Protest","Heather Weiner"
557,"Forrester Research, Inc.","Department of the Treasury : Office of the Comptroller of the Currency",CC15HQQ0044,Dismissed,http://gao.gov/docket/B-412080.1,"Sep 11, 2015","Dec 21, 2015","Oct 13, 2015","Bid Protest","Stephanie B. Magnell"
558,"Piraeus International, Inc.","Department of the Navy : Naval Supply Systems Command",N62588-15-R-C038Z0,Dismissed,http://gao.gov/docket/B-411978.2,"Sep 11, 2015","Dec 21, 2015","Oct 9, 2015","Bid Protest: Reconsideration","Jared D. Minsk"
559,"Tactical Medical Solutions, Inc.","Department of Homeland Security : United States Customs and Border Protection",9861591834,Dismissed,http://gao.gov/docket/B-412085.1,"Sep 11, 2015","Dec 21, 2015","Oct 8, 2015","Bid Protest","Peter D. Verchinski"
560,"Harper Contracting, Inc.","Department of the Army : Corps of Engineers",W912PL-15-B-0009,Dismissed,http://gao.gov/docket/B-412076.1,"Sep 11, 2015","Dec 21, 2015","Oct 1, 2015","Bid Protest","Gary R. Allen"
561,"CAMSS Shelters","Department of the Air Force",FA5240-15-Q-M043,Withdrawn,http://gao.gov/docket/B-412086.1,"Sep 11, 2015","Dec 21, 2015","Oct 1, 2015","Bid Protest","Paul N. Wengert"
562,"SSI Technology, Inc.","Department of Defense : Defense Logistics Agency",SPE7M9-15-T-B475,Dismissed,http://gao.gov/docket/B-412082.1,"Sep 11, 2015","Dec 21, 2015","Sep 25, 2015","Bid Protest","Young H. Cho"
563,"Taylor Dynamometer","Department of Defense : United States Marine Corps",M67001-15-T-0022,Dismissed,http://gao.gov/docket/B-412081.1,"Sep 11, 2015","Dec 21, 2015","Sep 17, 2015","Bid Protest","Laura Eyester"
564,"CACI-ISS, Inc.","Department of the Army : Corps of Engineers",W912UM-15-R-0010,Denied,http://gao.gov/docket/B-412074.1,"Sep 10, 2015","Dec 21, 2015","Dec 21, 2015","Bid Protest","Glenn G. Wolcott"
565,"Wallace Asset Management, LLC","Department of Housing and Urban Development",DU204SA-13-R-0004,Dismissed,http://gao.gov/docket/B-410672.6,"Sep 10, 2015","Dec 21, 2015","Dec 9, 2015","Bid Protest","Robert T. Wu"
566,"DRS Technical Services, Inc.","Department of Defense : Defense Information Systems Agency",HC1028-14-R-0006,Denied,http://gao.gov/docket/B-412070.1,"Sep 10, 2015","Dec 21, 2015","Dec 2, 2015","Bid Protest","Laura Eyester"
567,"Johnson Controls Government Systems, LLC","Department of Energy",DE-SOL-0006380,Denied,http://gao.gov/docket/B-411862.2,"Sep 10, 2015","Dec 21, 2015","Nov 24, 2015","Bid Protest","Scott H. Riback"
568,"DRS Technical Services, Inc.","Department of the Army : U.S. Army Materiel Command",R2-3G-0726,Sustained,http://gao.gov/docket/B-411573.3,"Sep 10, 2015","Dec 21, 2015","Nov 9, 2015","Bid Protest","Brent Burris"
569,"Point Blank Enterprises, Inc.","Department of the Army : U.S. Army Materiel Command",W91CRB-15-R-0030,Denied,http://gao.gov/docket/B-411839.2,"Sep 10, 2015","Dec 21, 2015","Nov 3, 2015","Bid Protest","Laura Eyester"
570,"Digicon Corporation","Commodity Futures Trading Commission",CFODT-14-SO-0109,Withdrawn,http://gao.gov/docket/B-412083.1,"Sep 10, 2015","Dec 21, 2015","Oct 27, 2015","Bid Protest","Matthew T. Crosby"
571,"Engineered Resources, LLC","Department of Energy",DE-SOL-0008188,Withdrawn,http://gao.gov/docket/B-412072.1,"Sep 10, 2015","Dec 21, 2015","Oct 14, 2015","Bid Protest","Heather Weiner"
572,"VetPride Services, Inc.","Department of Veterans Affairs",VA262-15-Q-0529,Dismissed,http://gao.gov/docket/B-412079.1,"Sep 10, 2015","Dec 21, 2015","Oct 9, 2015","Bid Protest","Elizabeth Witwer"
573,"Native Green, LLC","Department of Justice : Bureau of Prisons",RFQP0700NAS150727,Dismissed,http://gao.gov/docket/B-412071.1,"Sep 10, 2015","Dec 21, 2015","Oct 9, 2015","Bid Protest","Paul N. Wengert"
574,"Tactical Medical Solutions, Inc.","Department of Homeland Security : United States Customs and Border Protection",CBP-SOL-15-20087015,Dismissed,http://gao.gov/docket/B-412077.1,"Sep 10, 2015","Dec 21, 2015","Oct 7, 2015","Bid Protest","Peter D. Verchinski"
575,"Alliant SB CTA, LLC","General Services Administration : Information Technology Service",ID05140054,Dismissed,http://gao.gov/docket/B-411842.4,"Sep 10, 2015","Dec 21, 2015","Sep 25, 2015","Bid Protest","Eric M. Ransom"
576,"Diligent Consulting, Inc.","General Services Administration : Information Technology Service",ID04150066,Withdrawn,http://gao.gov/docket/B-412073.1,"Sep 10, 2015","Dec 21, 2015","Sep 24, 2015","Bid Protest","Pedro E. Briones"
577,"Gartner Inc.","Department of Agriculture",AG-3144-S-15-0086,Dismissed,http://gao.gov/docket/B-412075.1,"Sep 10, 2015","Dec 21, 2015","Sep 23, 2015","Bid Protest","Scott H. Riback"
578,"Basic Concepts, Inc.","Department of Defense : Defense Logistics Agency","",Withdrawn,http://gao.gov/docket/B-411997.2,"Sep 10, 2015","Dec 21, 2015","Sep 21, 2015","Bid Protest","Paula A. Williams"
579,"Medfinity LLC","Department of Health and Human Services : Public Health Service : Indian Health Service",IHHC-K15-0001,Withdrawn,http://gao.gov/docket/B-412021.3,"Sep 10, 2015","Dec 21, 2015","Sep 11, 2015","Bid Protest: Reconsideration","Jonathan L. Kang"
580,"Medfinity LLC","Department of Veterans Affairs","",Denied,http://gao.gov/docket/B-412068.1,"Sep 9, 2015","Dec 18, 2015","Dec 2, 2015","Bid Protest","Laura Eyester"
581,"Medfinity LLC","Department of Veterans Affairs",VA249-15-Q-0709,Dismissed,http://gao.gov/docket/B-412066.1,"Sep 9, 2015","Dec 18, 2015","Nov 16, 2015","Bid Protest","Young S. Lee"
582,"Mortgage Assistance and Acquisitions Group, LLC","Department of Housing and Urban Development",DU204SA-13-R-0004,Withdrawn,http://gao.gov/docket/B-410672.5,"Sep 9, 2015","Dec 18, 2015","Oct 19, 2015","Bid Protest","Robert T. Wu"
583,"Bay West, LLC","Department of the Army : Corps of Engineers",W9128F-14-R-0044,Dismissed,http://gao.gov/docket/B-412065.1,"Sep 9, 2015","Dec 18, 2015","Oct 6, 2015","Bid Protest","Lois Hanshaw"
584,"Zantech IT Services, Inc.","Department of the Army : U.S. Army Materiel Command",W15QKN-15-R-0083,Dismissed,http://gao.gov/docket/B-412010.2,"Sep 9, 2015","Dec 18, 2015","Oct 2, 2015","Bid Protest","Mary G. Curcio"
585,"ITility, LLC","Department of the Air Force : Air Force Special Operations Command",H92222-14-R-0021,Dismissed,http://gao.gov/docket/B-412067.1,"Sep 9, 2015","Dec 18, 2015","Sep 30, 2015","Bid Protest","Brent Burris"
586,"Chenega Advanced Solutions & Engineering, LLC","Department of the Air Force : Air Force Special Operations Command",H92222-14-R-0021,Dismissed,http://gao.gov/docket/B-412067.2,"Sep 9, 2015","Dec 18, 2015","Sep 30, 2015","Bid Protest","Brent Burris"
587,"Brothers General Construction, Inc.","Department of Homeland Security : United States Coast Guard",HSCG83-15-B-PCR091,Dismissed,http://gao.gov/docket/B-411545.2,"Sep 9, 2015","Dec 18, 2015","Sep 28, 2015","Bid Protest","Matthew T. Crosby"
588,"Bluehorse Corporation","Department of the Interior : Bureau of Indian Affairs",0040222158,Dismissed,http://gao.gov/docket/B-412064.1,"Sep 9, 2015","Dec 18, 2015","Sep 18, 2015","Bid Protest","Peter D. Verchinski"
589,"Bluehorse Corporation","Department of the Interior : Bureau of Indian Affairs",0040222158,Dismissed,http://gao.gov/docket/B-412064.2,"Sep 9, 2015","Dec 18, 2015","Sep 18, 2015","Bid Protest","Peter D. Verchinski"
590,"Crosstown Courier Service, Inc.","Department of Veterans Affairs",VA247-15-Q-0821,Dismissed,http://gao.gov/docket/B-411932.3,"Sep 9, 2015","Dec 18, 2015","Sep 16, 2015","Bid Protest: Reconsideration","Young H. Cho"
591,"CORTEK, Inc.","Department of the Navy : Naval Supply Systems Command",N00189-15-R-Z016,Sustained,http://gao.gov/docket/B-412047.1,"Sep 8, 2015","Dec 17, 2015","Dec 17, 2015","Bid Protest","Scott H. Riback"
592,"TransAtlantic Lines, LLC","Department of the Air Force",HTC711-15-R-W002,Denied,http://gao.gov/docket/B-411846.2,"Sep 8, 2015","Dec 17, 2015","Dec 16, 2015","Bid Protest","Pedro E. Briones"
593,"Sodexo Federal Services, Inc.","Central Intelligence Agency",2014-13120500002,Denied,http://gao.gov/docket/B-412052.1,"Sep 8, 2015","Dec 17, 2015","Dec 16, 2015","Bid Protest","Charles W. Morrow"
594,"Lockheed Martin Corporation","Department of the Army : U.S. Army Materiel Command",W56HZV-14-R-0039,Dismissed,http://gao.gov/docket/B-412056.1,"Sep 8, 2015","Dec 17, 2015","Dec 15, 2015","Bid Protest","Glenn G. Wolcott"
595,"Advanced IT Concepts, Inc.","Department of the Army",W91249-15-R-0013,Denied,http://gao.gov/docket/B-412048.2,"Sep 8, 2015","Dec 17, 2015","Dec 14, 2015","Bid Protest","Kenneth Kilgour"
596,"Telos Corporation","Department of the Army : U.S. Army Materiel Command",W52P1J-15-R-CASD,Denied,http://gao.gov/docket/B-412058.1,"Sep 8, 2015","Dec 17, 2015","Dec 14, 2015","Bid Protest","Mary G. Curcio"
597,"Sysorex Government Services, Inc.","Department of the Army : U.S. Army Materiel Command",W52P1J-11-R-0059,Dismissed,http://gao.gov/docket/B-409648.12,"Sep 8, 2015","Dec 17, 2015","Dec 14, 2015","Bid Protest","Eric M. Ransom"
598,"MRAP LLC","Department of Housing and Urban Development",DU204SA-13-R-0004,Withdrawn,http://gao.gov/docket/B-410672.4,"Sep 8, 2015","Dec 17, 2015","Dec 4, 2015","Bid Protest","Robert T. Wu"
599,"DA Defense Logistics HQ","Department of the Army : U.S. Army Materiel Command",W52P1J-14-R-0154,Denied,http://gao.gov/docket/B-411153.3,"Sep 8, 2015","Dec 17, 2015","Dec 2, 2015","Bid Protest","Evan D. Wesser"
600,"Oransi, LLC","Department of State",SGE500-15-Q-0025,Denied,http://gao.gov/docket/B-412061.1,"Sep 8, 2015","Dec 17, 2015","Dec 2, 2015","Bid Protest","Paul N. Wengert"
601,"BAE Systems Information and Electronic Systems Integration, Inc.","Department of the Army : U.S. Army Materiel Command",W58RGZ-14-R-0001,Withdrawn,http://gao.gov/docket/B-412051.1,"Sep 8, 2015","Dec 17, 2015","Nov 25, 2015","Bid Protest","Cherie J. Owen"
602,"Cape Environmental Management, Inc.","Department of the Army : Corps of Engineers",W912HN-15-R-0003,Dismissed,http://gao.gov/docket/B-412046.1,"Sep 8, 2015","Dec 17, 2015","Nov 18, 2015","Bid Protest","Young H. Cho"
603,"Durukhshesh Noor Logistic Services","Department of the Army",W56KJD-15-R-0036,Withdrawn,http://gao.gov/docket/B-411969.4,"Sep 8, 2015","Dec 17, 2015","Oct 26, 2015","Bid Protest","Noah B. Bleicher"
